number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,state
0,0.8662714541077585,2025-07-06 15:15:01.959719,2025-07-06 15:15:02.365834,0 days 00:00:00.406115,gini,16,sqrt,7,11,COMPLETE
1,0.8619253751512073,2025-07-06 15:15:02.366237,2025-07-06 15:15:02.772586,0 days 00:00:00.406349,entropy,12,sqrt,17,37,COMPLETE
2,0.84641366945357,2025-07-06 15:15:02.773118,2025-07-06 15:15:03.038908,0 days 00:00:00.265790,gini,9,log2,4,5,COMPLETE
3,0.9106998754365158,2025-07-06 15:15:03.039317,2025-07-06 15:15:05.065689,0 days 00:00:02.026372,entropy,16,,16,42,COMPLETE
4,0.9047607846935721,2025-07-06 15:15:05.066192,2025-07-06 15:15:07.415952,0 days 00:00:02.349760,gini,17,,4,40,COMPLETE
5,0.8392998565490355,2025-07-06 15:15:07.416527,2025-07-06 15:15:07.707192,0 days 00:00:00.290665,entropy,7,sqrt,18,19,COMPLETE
6,0.9123345678855775,2025-07-06 15:15:07.707588,2025-07-06 15:15:08.752651,0 days 00:00:01.045063,gini,5,,11,16,COMPLETE
7,0.7153247422972616,2025-07-06 15:15:08.753197,2025-07-06 15:15:08.920861,0 days 00:00:00.167664,gini,5,log2,3,20,COMPLETE
8,0.858322716432603,2025-07-06 15:15:08.921259,2025-07-06 15:15:09.200461,0 days 00:00:00.279202,gini,10,log2,2,16,COMPLETE
9,0.9091023514554871,2025-07-06 15:15:09.200934,2025-07-06 15:15:11.195026,0 days 00:00:01.994092,entropy,11,,15,32,COMPLETE
10,0.9073517521675042,2025-07-06 15:15:11.195629,2025-07-06 15:15:12.054169,0 days 00:00:00.858540,gini,4,,11,2,COMPLETE
11,0.9105858659922061,2025-07-06 15:15:12.054636,2025-07-06 15:15:14.138301,0 days 00:00:02.083665,entropy,14,,12,49,COMPLETE
12,0.9077569264956722,2025-07-06 15:15:14.138732,2025-07-06 15:15:16.229426,0 days 00:00:02.090694,entropy,14,,14,27,COMPLETE
13,0.9111735145365365,2025-07-06 15:15:16.229840,2025-07-06 15:15:18.267391,0 days 00:00:02.037551,entropy,20,,20,50,COMPLETE
14,0.9123376434040846,2025-07-06 15:15:18.267941,2025-07-06 15:15:20.381410,0 days 00:00:02.113469,gini,19,,20,49,COMPLETE
15,0.9052874474098976,2025-07-06 15:15:20.382132,2025-07-06 15:15:22.659462,0 days 00:00:02.277330,gini,20,,8,26,COMPLETE
16,0.9073517521675042,2025-07-06 15:15:22.659936,2025-07-06 15:15:23.334701,0 days 00:00:00.674765,gini,3,,7,12,COMPLETE
17,0.9125400111205797,2025-07-06 15:15:23.335145,2025-07-06 15:15:24.758789,0 days 00:00:01.423644,gini,7,,20,25,COMPLETE
18,0.840525148742725,2025-07-06 15:15:24.759162,2025-07-06 15:15:25.056432,0 days 00:00:00.297270,gini,8,sqrt,20,27,COMPLETE
19,0.854132104173518,2025-07-06 15:15:25.056913,2025-07-06 15:15:25.289986,0 days 00:00:00.233073,gini,7,log2,18,33,COMPLETE
