number,value,datetime_start,datetime_complete,duration,params_covariance_type,params_max_iter,params_tol,state
0,2344269.768182181,2025-07-06 15:08:21.365067,2025-07-06 15:08:30.751642,0 days 00:00:09.386575,full,198,0.0009145640474356255,COMPLETE
1,2344269.768182181,2025-07-06 15:08:30.752159,2025-07-06 15:08:31.806358,0 days 00:00:01.054199,full,178,0.0011251012531547045,COMPLETE
2,2344269.768182181,2025-07-06 15:08:31.807016,2025-07-06 15:08:32.859611,0 days 00:00:01.052595,full,157,0.0025920326189542097,COMPLETE
3,2344269.768182181,2025-07-06 15:08:32.860067,2025-07-06 15:08:33.916410,0 days 00:00:01.056343,full,125,0.00047246947141104604,COMPLETE
4,2344269.768182181,2025-07-06 15:08:33.917079,2025-07-06 15:08:34.970233,0 days 00:00:01.053154,full,156,0.000683301246930665,COMPLETE
5,-72816.89148224353,2025-07-06 15:08:34.970957,2025-07-06 15:08:36.175869,0 days 00:00:01.204912,tied,158,0.0011460244705938842,COMPLETE
6,2344269.768182181,2025-07-06 15:08:36.176476,2025-07-06 15:08:37.229926,0 days 00:00:01.053450,full,94,0.0016757286981772652,COMPLETE
7,-117083.56720780888,2025-07-06 15:08:37.230429,2025-07-06 15:08:37.867836,0 days 00:00:00.637407,tied,156,0.0052999726369121454,COMPLETE
8,-117083.56720780888,2025-07-06 15:08:37.868334,2025-07-06 15:08:38.510117,0 days 00:00:00.641783,tied,179,0.005506153750552941,COMPLETE
9,-72816.89148224353,2025-07-06 15:08:38.510916,2025-07-06 15:08:39.805028,0 days 00:00:01.294112,tied,65,0.00035376673981160617,COMPLETE
10,630931.6003140891,2025-07-06 15:08:39.805460,2025-07-06 15:08:40.265202,0 days 00:00:00.459742,diag,194,0.0001099018338529657,COMPLETE
11,-3771925.6323117525,2025-07-06 15:08:40.265644,2025-07-06 15:08:40.540337,0 days 00:00:00.274693,spherical,198,0.00018358871328444013,COMPLETE
12,2344269.768182181,2025-07-06 15:08:40.540777,2025-07-06 15:08:41.681984,0 days 00:00:01.141207,full,117,0.002444966809960389,COMPLETE
13,-3771928.1777529963,2025-07-06 15:08:41.682578,2025-07-06 15:08:41.926976,0 days 00:00:00.244398,spherical,178,0.0008431978386800916,COMPLETE
14,630931.6003140891,2025-07-06 15:08:41.927545,2025-07-06 15:08:42.385848,0 days 00:00:00.458303,diag,178,0.0003558660604950411,COMPLETE
15,2344269.768182181,2025-07-06 15:08:42.386526,2025-07-06 15:08:43.540425,0 days 00:00:01.153899,full,141,0.0013004089698558663,COMPLETE
16,2344269.768182181,2025-07-06 15:08:43.540972,2025-07-06 15:08:44.719985,0 days 00:00:01.179013,full,198,0.00331898287605743,COMPLETE
17,2344269.768182181,2025-07-06 15:08:44.720506,2025-07-06 15:08:45.869004,0 days 00:00:01.148498,full,104,0.0005632887736780867,COMPLETE
18,-3771925.6323117525,2025-07-06 15:08:45.869536,2025-07-06 15:08:46.132759,0 days 00:00:00.263223,spherical,176,0.00022518614043105326,COMPLETE
19,630931.6003140891,2025-07-06 15:08:46.133286,2025-07-06 15:08:46.599424,0 days 00:00:00.466138,diag,139,0.00936110688262211,COMPLETE
