feature,importance
final_score_current,0.2373281531526448
final_result,0.22490054480347157
n_days_homepage,0.06735509894907901
total_n_days,0.06261820748547911
learning_intensity,0.04964591177838999
n_days_quiz,0.039746903401605194
n_days_resource,0.03270248858818965
n_days_oucontent,0.031345736351882876
n_days_subpage,0.023023275773039097
n_days_url,0.021972681494572082
avg_sum_clicks_quiz,0.01785287550077513
code_module,0.017823425914337134
n_days_forumng,0.016951526025183968
avg_sum_clicks_url,0.012205631638013142
avg_sum_clicks_resource,0.010470526914922083
total_clicks,0.010444122669392444
avg_sum_clicks_oucontent,0.008530134259276595
studied_credits,0.008345233019369616
avg_sum_clicks_forumng,0.007657205437885366
avg_sum_clicks_homepage,0.007477797549411629
avg_total_clicks,0.007104156348082509
avg_sum_clicks_subpage,0.0066561071395116675
date_registration,0.00526941058578698
n_days_ouwiki,0.004058584265651645
activity_diversity,0.00399058574105723
region,0.0037975102699812744
avg_sum_clicks_ouwiki,0.0036578855577225054
avg_sum_clicks_glossary,0.0035376352525236625
gender,0.003410562756291687
imd_band,0.0033708140593022287
avg_sum_clicks_page,0.0033007762243401325
n_days_page,0.0031050300108275346
n_days_dataplus,0.003024395906724267
avg_sum_clicks_oucollaborate,0.0027150542584799854
n_days_externalquiz,0.0025162594985483674
education_level,0.002510682267973718
n_days_oucollaborate,0.0024335084982997643
highest_education,0.0024038016670356512
avg_sum_clicks_dataplus,0.002337448685125281
code_presentation,0.0020847249046011926
avg_sum_clicks_externalquiz,0.0019514084701266012
n_days_glossary,0.0019460078480794012
avg_sum_clicks_folder,0.0017335452411006804
avg_sum_clicks_questionnaire,0.001690592904732091
n_days_folder,0.0016843338671970903
n_days_questionnaire,0.001171711740038921
num_of_prev_attempts,0.0010938591540898186
n_days_ouelluminate,0.0010454820745661015
year,0.0009716137084918365
age_band,0.0009254794952326741
avg_sum_clicks_ouelluminate,0.0008973807153928887
semester,0.0008617742084250752
is_february,0.0008545498280534917
early_registration,0.0007769046721839557
disability,0.0006810228660387519
avg_sum_clicks_dualpane,0.0006192560254244865
n_days_dualpane,0.0005211995146897451
n_days_htmlactivity,0.0004851838751942605
avg_sum_clicks_htmlactivity,0.0004062791861542536
n_days_sharedsubpage,0.0
n_days_repeatactivity,0.0
avg_sum_clicks_sharedsubpage,0.0
avg_sum_clicks_repeatactivity,0.0
banked_ratio,0.0
late_registration,0.0
