number,value,datetime_start,datetime_complete,duration,params_init,params_n_init,state
0,0.2382237888033391,2025-07-06 14:09:16.216641,2025-07-06 14:09:21.278664,0 days 00:00:05.062023,k-means++,20,COMPLETE
1,0.2382237888033391,2025-07-06 14:09:21.279073,2025-07-06 14:09:26.052938,0 days 00:00:04.773865,k-means++,19,COMPLETE
2,0.23832394105805277,2025-07-06 14:09:26.053300,2025-07-06 14:09:30.860146,0 days 00:00:04.806846,random,18,COMPLETE
3,0.2382237888033391,2025-07-06 14:09:30.860600,2025-07-06 14:09:35.613571,0 days 00:00:04.752971,k-means++,16,COMPLETE
4,0.2382237888033391,2025-07-06 14:09:35.613870,2025-07-06 14:09:40.208697,0 days 00:00:04.594827,k-means++,8,COMPLETE
5,0.2382237888033391,2025-07-06 14:09:40.209036,2025-07-06 14:09:45.003592,0 days 00:00:04.794556,k-means++,17,COMPLETE
6,0.23832394105805277,2025-07-06 14:09:45.004077,2025-07-06 14:09:49.838254,0 days 00:00:04.834177,random,17,COMPLETE
7,0.23832394105805277,2025-07-06 14:09:49.838611,2025-07-06 14:09:54.539333,0 days 00:00:04.700722,random,9,COMPLETE
8,0.23832394105805277,2025-07-06 14:09:54.539633,2025-07-06 14:09:59.189112,0 days 00:00:04.649479,random,6,COMPLETE
9,0.2382237888033391,2025-07-06 14:09:59.189638,2025-07-06 14:10:03.968574,0 days 00:00:04.778936,k-means++,20,COMPLETE
10,0.23832394105805277,2025-07-06 14:10:03.968926,2025-07-06 14:10:08.721155,0 days 00:00:04.752229,random,13,COMPLETE
11,0.23832394105805277,2025-07-06 14:10:08.721653,2025-07-06 14:10:13.475050,0 days 00:00:04.753397,random,14,COMPLETE
12,0.23832394105805277,2025-07-06 14:10:13.475585,2025-07-06 14:10:18.224642,0 days 00:00:04.749057,random,16,COMPLETE
13,0.23832394105805277,2025-07-06 14:10:18.225412,2025-07-06 14:10:23.024662,0 days 00:00:04.799250,random,11,COMPLETE
14,0.23832394105805277,2025-07-06 14:10:23.025077,2025-07-06 14:10:27.829550,0 days 00:00:04.804473,random,18,COMPLETE
15,0.23832394105805277,2025-07-06 14:10:27.830074,2025-07-06 14:10:32.613107,0 days 00:00:04.783033,random,15,COMPLETE
16,0.23832394105805277,2025-07-06 14:10:32.613654,2025-07-06 14:10:37.324791,0 days 00:00:04.711137,random,11,COMPLETE
17,0.23832394105805277,2025-07-06 14:10:37.325134,2025-07-06 14:10:42.131645,0 days 00:00:04.806511,random,18,COMPLETE
18,0.23832394105805277,2025-07-06 14:10:42.131969,2025-07-06 14:10:46.865520,0 days 00:00:04.733551,random,14,COMPLETE
19,0.23832394105805277,2025-07-06 14:10:46.865936,2025-07-06 14:10:51.649342,0 days 00:00:04.783406,random,17,COMPLETE
