number,value,datetime_start,datetime_complete,duration,params_C,params_max_iter,params_penalty,state
0,0.9011720285587671,2025-07-06 14:55:27.790341,2025-07-06 14:55:28.077923,0 days 00:00:00.287582,0.1640295395645078,300,l2,COMPLETE
1,0.8994736147871354,2025-07-06 14:55:28.078260,2025-07-06 14:55:28.289192,0 days 00:00:00.210932,0.01912283684313353,500,l2,COMPLETE
2,0.8982694020584446,2025-07-06 14:55:28.289646,2025-07-06 14:55:28.476305,0 days 00:00:00.186659,0.010556185457147345,300,l2,COMPLETE
3,0.9004501885916095,2025-07-06 14:55:28.476694,2025-07-06 14:55:28.710926,0 days 00:00:00.234232,0.04117430429275278,500,l2,COMPLETE
4,0.9008210887084056,2025-07-06 14:55:28.711274,2025-07-06 14:55:29.020399,0 days 00:00:00.309125,1.2929964661594877,400,l2,COMPLETE
5,0.9008619017095161,2025-07-06 14:55:29.020714,2025-07-06 14:55:29.327353,0 days 00:00:00.306639,2.854667295836645,300,l2,COMPLETE
6,0.9011707425452979,2025-07-06 14:55:29.327729,2025-07-06 14:55:29.613664,0 days 00:00:00.285935,0.5438882612442947,500,l2,COMPLETE
7,0.9011590944857669,2025-07-06 14:55:29.614044,2025-07-06 14:55:29.875438,0 days 00:00:00.261394,0.06810712287242356,500,l2,COMPLETE
8,0.9009547189420717,2025-07-06 14:55:29.875726,2025-07-06 14:55:30.163397,0 days 00:00:00.287671,1.1825073977643197,500,l2,COMPLETE
9,0.9009576369421579,2025-07-06 14:55:30.163725,2025-07-06 14:55:31.661289,0 days 00:00:01.497564,0.14937805805181878,300,l1,COMPLETE
10,0.9008710480499827,2025-07-06 14:55:31.661813,2025-07-06 14:55:33.158969,0 days 00:00:01.497156,8.923188788654992,400,l1,COMPLETE
11,0.9009987032396898,2025-07-06 14:55:33.159349,2025-07-06 14:55:35.747459,0 days 00:00:02.588110,0.34447439974306987,300,l1,COMPLETE
12,0.901271159242326,2025-07-06 14:55:35.747877,2025-07-06 14:55:36.037455,0 days 00:00:00.289578,0.3151322045129151,500,l2,COMPLETE
13,0.9013744167869246,2025-07-06 14:55:36.037736,2025-07-06 14:55:36.349301,0 days 00:00:00.311565,0.1411508843787329,300,l2,COMPLETE
14,0.9010589279351613,2025-07-06 14:55:36.349681,2025-07-06 14:55:38.057355,0 days 00:00:01.707674,0.15475845249452375,400,l1,COMPLETE
15,0.9006810083299017,2025-07-06 14:55:38.057704,2025-07-06 14:55:38.326139,0 days 00:00:00.268435,0.05202020404182301,500,l2,COMPLETE
16,0.9011799373931503,2025-07-06 14:55:38.326506,2025-07-06 14:55:38.623530,0 days 00:00:00.297024,0.5721012632745711,300,l2,COMPLETE
17,0.9013465337537712,2025-07-06 14:55:38.623838,2025-07-06 14:55:38.891856,0 days 00:00:00.268018,0.1072648853038851,500,l2,COMPLETE
18,0.9006526525135256,2025-07-06 14:55:38.892222,2025-07-06 14:55:40.424597,0 days 00:00:01.532375,0.0803138177078385,300,l1,COMPLETE
19,0.8998043911165059,2025-07-06 14:55:40.424986,2025-07-06 14:55:40.647558,0 days 00:00:00.222572,0.023745829736610866,400,l2,COMPLETE
