code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,n_days_dataplus,n_days_dualpane,n_days_externalquiz,n_days_folder,n_days_forumng,n_days_glossary,n_days_homepage,n_days_htmlactivity,n_days_oucollaborate,n_days_oucontent,n_days_ouelluminate,n_days_ouwiki,n_days_page,n_days_questionnaire,n_days_quiz,n_days_repeatactivity,n_days_resource,n_days_sharedsubpage,n_days_subpage,n_days_url,avg_sum_clicks_dataplus,avg_sum_clicks_dualpane,avg_sum_clicks_externalquiz,avg_sum_clicks_folder,avg_sum_clicks_forumng,avg_sum_clicks_glossary,avg_sum_clicks_homepage,avg_sum_clicks_htmlactivity,avg_sum_clicks_oucollaborate,avg_sum_clicks_oucontent,avg_sum_clicks_ouelluminate,avg_sum_clicks_ouwiki,avg_sum_clicks_page,avg_sum_clicks_questionnaire,avg_sum_clicks_quiz,avg_sum_clicks_repeatactivity,avg_sum_clicks_resource,avg_sum_clicks_sharedsubpage,avg_sum_clicks_subpage,avg_sum_clicks_url,total_n_days,avg_total_clicks,final_score_current,banked_ratio,at_risk
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,,0.0,0.0,0.0,0.0,19.0,0.0,40.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,3.7115384615384617,0.0,3.45,0.0,0.0,7.089743589743589,0.0,0.0,0.0,0.0,0.0,0.0,1.1818181818181819,0.0,2.909090909090909,1.25,40,4.76530612244898,82.4,0.0,0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,,2.0,0.0,0.0,0.0,45.0,0.0,80.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,25.0,3.3333333333333335,0.0,0.0,0.0,2.558282208588957,0.0,4.05,0.0,0.0,5.066037735849057,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.0714285714285716,1.7777777777777777,80,3.3372093023255816,65.4,0.0,0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.2,0.0,4.916666666666667,0.0,0.0,4.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8333333333333333,1.0,12,3.6973684210526314,0.0,0.0,1
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,,1.0,0.0,0.0,0.0,71.0,1.0,121.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,61.0,51.0,2.0,0.0,0.0,0.0,3.218274111675127,1.0,3.5702479338842976,0.0,0.0,4.26530612244898,0.0,0.0,0.0,0.0,0.0,0.0,1.4615384615384615,0.0,1.7349397590361446,1.7647058823529411,123,3.2549019607843137,76.3,0.0,0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,,0.0,0.0,0.0,0.0,25.0,2.0,68.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,35.0,11.0,0.0,0.0,0.0,0.0,2.5194805194805197,1.3333333333333333,3.0,0.0,0.0,4.2956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,1.9565217391304348,0.0,1.490566037735849,1.0769230769230769,70,2.9375,55.0,0.0,0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,,1.0,0.0,0.0,0.0,93.0,1.0,142.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.0,27.0,7.0,0.0,0.0,0.0,3.0594405594405596,2.0,3.6056338028169015,0.0,0.0,4.568527918781726,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,1.6851851851851851,1.3636363636363635,143,3.3817427385892116,66.9,0.0,0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,,1.0,0.0,0.0,0.0,21.0,0.0,90.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,36.0,16.0,2.0,0.0,0.0,0.0,2.3653846153846154,0.0,3.5555555555555554,0.0,2.0,6.727941176470588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9215686274509804,1.5,90,4.20281690140845,67.8,0.0,0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,,1.0,0.0,0.0,0.0,50.0,0.0,104.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,56.0,34.0,4.0,0.0,0.0,0.0,2.3260869565217392,0.0,2.8365384615384617,0.0,1.0,4.305084745762712,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,1.6666666666666667,1.5135135135135136,105,2.689265536723164,72.5,0.0,0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,,2.0,0.0,0.0,0.0,43.0,0.0,121.0,0.0,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,76.0,50.0,4.0,0.0,0.0,0.0,2.3785714285714286,0.0,3.9338842975206614,0.0,1.0,4.606451612903226,0.0,0.0,0.0,0.0,0.0,0.0,1.1176470588235294,0.0,2.2291666666666665,2.1333333333333333,122,3.193929173693086,71.2,0.0,0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,-179.0,,1.0,0.0,0.0,0.0,133.0,0.0,142.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,57.0,55.0,3.0,0.0,0.0,0.0,3.6623376623376624,0.0,2.7746478873239435,0.0,0.0,6.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7464788732394365,1.490909090909091,142,3.493362831858407,79.0,0.0,0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,,1.0,0.0,0.0,0.0,6.0,1.0,90.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,55.0,36.0,5.0,0.0,0.0,0.0,1.5789473684210527,4.0,4.0,0.0,0.0,4.37037037037037,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,1.6923076923076923,1.6216216216216217,90,3.272952853598015,74.0,0.0,0
