number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_layer_0_size,params_layer_1_size,params_layer_2_size,params_learning_rate_init,params_n_layers,params_solver,state
0,0.9140990098479133,2025-07-05 11:12:40.744606,2025-07-05 11:12:52.366433,0 days 00:00:11.621827,relu,0.00010782820741279772,128,112.0,,0.000540904825934788,2,adam,COMPLETE
1,0.9162186640676767,2025-07-05 11:12:52.366771,2025-07-05 11:12:59.408290,0 days 00:00:07.041519,tanh,0.001116940139829824,96,96.0,,0.001634821816881483,2,adam,COMPLETE
2,0.9117881937092224,2025-07-05 11:12:59.408631,2025-07-05 11:13:03.225333,0 days 00:00:03.816702,relu,0.003215206301674595,32,112.0,32.0,0.002507815727931445,3,adam,COMPLETE
3,0.9128607811474477,2025-07-05 11:13:03.225659,2025-07-05 11:13:04.939385,0 days 00:00:01.713726,tanh,0.002214618745401225,64,,,0.009517404012705802,1,adam,COMPLETE
4,0.8858501373375628,2025-07-05 11:13:04.939704,2025-07-05 11:13:15.418862,0 days 00:00:10.479158,tanh,1.4129387858907058e-05,128,,,0.0002814899117826258,1,sgd,COMPLETE
5,0.9155052917270249,2025-07-05 11:13:15.419209,2025-07-05 11:13:19.773003,0 days 00:00:04.353794,relu,2.8163409604486377e-05,96,,,0.0009505105249323591,1,adam,COMPLETE
6,0.9128110722638759,2025-07-05 11:13:19.773378,2025-07-05 11:13:25.250983,0 days 00:00:05.477605,tanh,1.6493796871653617e-05,80,,,0.00961874119614722,1,sgd,COMPLETE
7,0.8943872708094475,2025-07-05 11:13:25.251324,2025-07-05 11:14:06.945388,0 days 00:00:41.694064,tanh,0.0014477005887716958,96,96.0,32.0,0.00014771425237009427,3,sgd,COMPLETE
8,0.9144851425212082,2025-07-05 11:14:06.945750,2025-07-05 11:14:11.824797,0 days 00:00:04.879047,relu,0.00018894592098620376,80,80.0,,0.0005153725003409065,2,adam,COMPLETE
9,0.9034720034059157,2025-07-05 11:14:11.825175,2025-07-05 11:14:20.047539,0 days 00:00:08.222364,tanh,0.0001281247338304621,128,,,0.004279084223463332,1,sgd,COMPLETE
10,0.9146493107366372,2025-07-05 11:14:20.047852,2025-07-05 11:14:22.719679,0 days 00:00:02.671827,tanh,0.008935460544635156,48,32.0,,0.0019118823941540457,2,adam,COMPLETE
11,0.9147335395073002,2025-07-05 11:14:22.720136,2025-07-05 11:14:27.730533,0 days 00:00:05.010397,relu,0.0006289993223291667,96,64.0,,0.0010914943105743717,2,adam,COMPLETE
12,0.9143281563281046,2025-07-05 11:14:27.730864,2025-07-05 11:14:38.406365,0 days 00:00:10.675501,relu,3.5273693283796195e-05,96,128.0,128.0,0.000988910511597895,3,adam,COMPLETE
13,0.9172607476564005,2025-07-05 11:14:38.406708,2025-07-05 11:14:43.140509,0 days 00:00:04.733801,relu,0.0005237692161761608,112,,,0.0013905720297918585,1,adam,COMPLETE
14,0.9154672711467408,2025-07-05 11:14:43.140888,2025-07-05 11:14:47.361683,0 days 00:00:04.220795,tanh,0.0005355409608304438,112,48.0,,0.0036052412488711315,2,adam,COMPLETE
15,0.9118457562714394,2025-07-05 11:14:47.362069,2025-07-05 11:14:51.269474,0 days 00:00:03.907405,relu,0.0010103889292695097,112,80.0,,0.001635949161877314,2,adam,COMPLETE
16,0.9126880477732522,2025-07-05 11:14:51.269821,2025-07-05 11:14:55.499153,0 days 00:00:04.229332,relu,0.00031141316312143646,112,,,0.00513342299230713,1,adam,COMPLETE
17,0.9114333601333365,2025-07-05 11:14:55.499531,2025-07-05 11:15:15.507608,0 days 00:00:20.008077,tanh,0.0050594454821199205,80,128.0,128.0,0.000522883512597605,3,adam,COMPLETE
18,0.9019120061069179,2025-07-05 11:15:15.508026,2025-07-05 11:15:20.775456,0 days 00:00:05.267430,tanh,6.00736959735699e-05,64,,,0.0015008080199538228,1,sgd,COMPLETE
19,0.9113386750630951,2025-07-05 11:15:20.775808,2025-07-05 11:15:36.156489,0 days 00:00:15.380681,relu,0.0004096465635864644,112,80.0,,0.00011169426816644306,2,adam,COMPLETE
