number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9113768793649392,2025-07-06 15:00:58.553410,2025-07-06 15:01:01.407143,0 days 00:00:02.853733,30.0,log2,3,8,100,COMPLETE
1,0.9126780372127549,2025-07-06 15:01:01.407558,2025-07-06 15:01:05.526987,0 days 00:00:04.119429,20.0,log2,1,8,150,COMPLETE
2,0.9108128667175016,2025-07-06 15:01:05.527491,2025-07-06 15:01:09.501852,0 days 00:00:03.974361,30.0,log2,5,7,150,COMPLETE
3,0.9143802710975842,2025-07-06 15:01:09.502294,2025-07-06 15:01:13.930165,0 days 00:00:04.427871,20.0,sqrt,1,5,150,COMPLETE
4,0.9154834313656419,2025-07-06 15:01:13.930645,2025-07-06 15:01:19.814323,0 days 00:00:05.883678,30.0,sqrt,1,6,200,COMPLETE
5,0.9112080989880651,2025-07-06 15:01:19.814995,2025-07-06 15:01:24.863396,0 days 00:00:05.048401,,log2,4,7,200,COMPLETE
6,0.9072598231901896,2025-07-06 15:01:24.863831,2025-07-06 15:01:26.305186,0 days 00:00:01.441355,10.0,log2,2,4,50,COMPLETE
7,0.9129812767056078,2025-07-06 15:01:26.305652,2025-07-06 15:01:31.942886,0 days 00:00:05.637234,,sqrt,4,4,200,COMPLETE
8,0.9137502479309155,2025-07-06 15:01:31.943307,2025-07-06 15:01:35.047111,0 days 00:00:03.103804,,sqrt,2,7,100,COMPLETE
9,0.9126389947217257,2025-07-06 15:01:35.047489,2025-07-06 15:01:39.168572,0 days 00:00:04.121083,20.0,log2,1,9,150,COMPLETE
10,0.9143624332723972,2025-07-06 15:01:39.168978,2025-07-06 15:01:45.064291,0 days 00:00:05.895313,30.0,sqrt,2,2,200,COMPLETE
11,0.9143633857887175,2025-07-06 15:01:45.064796,2025-07-06 15:01:51.265115,0 days 00:00:06.200319,20.0,sqrt,1,5,200,COMPLETE
12,0.9108963143749328,2025-07-06 15:01:51.265538,2025-07-06 15:01:55.333279,0 days 00:00:04.067741,10.0,sqrt,1,5,150,COMPLETE
13,0.9149970313404504,2025-07-06 15:01:55.333694,2025-07-06 15:01:58.560241,0 days 00:00:03.226547,30.0,sqrt,2,2,100,COMPLETE
14,0.9128357035258657,2025-07-06 15:01:58.560725,2025-07-06 15:02:00.556463,0 days 00:00:01.995738,30.0,sqrt,3,2,50,COMPLETE
15,0.913650954197897,2025-07-06 15:02:00.556992,2025-07-06 15:02:03.811883,0 days 00:00:03.254891,30.0,sqrt,2,10,100,COMPLETE
16,0.9143926066749035,2025-07-06 15:02:03.812312,2025-07-06 15:02:06.922411,0 days 00:00:03.110099,30.0,sqrt,3,3,100,COMPLETE
17,0.9146350604244196,2025-07-06 15:02:06.922873,2025-07-06 15:02:08.803386,0 days 00:00:01.880513,30.0,sqrt,2,3,50,COMPLETE
18,0.9140084091434517,2025-07-06 15:02:08.803814,2025-07-06 15:02:11.980522,0 days 00:00:03.176708,30.0,sqrt,2,6,100,COMPLETE
19,0.9100210440606439,2025-07-06 15:02:11.980935,2025-07-06 15:02:13.643918,0 days 00:00:01.662983,10.0,sqrt,4,3,50,COMPLETE
