number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,state
0,0.8907673485862003,2025-07-05 22:41:47.042855,2025-07-05 22:42:40.337741,0 days 00:00:53.294886,0.12194533056547008,3.0,scale,poly,COMPLETE
1,0.900063110642341,2025-07-05 22:42:40.338183,2025-07-05 22:56:17.413315,0 days 00:13:37.075132,16.90935948099131,,,linear,COMPLETE
2,0.9147779638680476,2025-07-05 22:56:17.424651,2025-07-05 22:57:02.605043,0 days 00:00:45.180392,1.3333470103310565,,auto,rbf,COMPLETE
3,0.8922798914265829,2025-07-05 22:57:02.605479,2025-07-05 22:57:55.377704,0 days 00:00:52.772225,0.13438064715402367,3.0,scale,poly,COMPLETE
4,0.8982827647431774,2025-07-05 22:57:55.378412,2025-07-05 22:58:46.887971,0 days 00:00:51.509559,9.071349500354412,2.0,auto,poly,COMPLETE
5,0.9077279033566251,2025-07-05 22:58:46.888439,2025-07-05 22:59:39.810506,0 days 00:00:52.922067,0.3205674651080627,,auto,rbf,COMPLETE
6,0.9001750930879094,2025-07-05 22:59:39.810934,2025-07-05 23:00:15.857598,0 days 00:00:36.046664,0.11694973879240002,,,linear,COMPLETE
7,0.9000706547561793,2025-07-05 23:00:15.858655,2025-07-05 23:03:47.007510,0 days 00:03:31.148855,2.9948581310175686,,,linear,COMPLETE
8,0.835390725849798,2025-07-05 23:03:47.008121,2025-07-05 23:04:52.308617,0 days 00:01:05.300496,0.4350468110577216,5.0,auto,poly,COMPLETE
9,0.8999125871455492,2025-07-05 23:04:52.309027,2025-07-05 23:05:39.678747,0 days 00:00:47.369720,0.46458919536628973,,,linear,COMPLETE
10,0.8957144960243326,2025-07-05 23:05:39.679232,2025-07-05 23:06:54.751076,0 days 00:01:15.071844,95.70394613828228,,auto,rbf,COMPLETE
11,0.9148240059080766,2025-07-05 23:06:54.751886,2025-07-05 23:07:41.008462,0 days 00:00:46.256576,1.2773355739019288,,auto,rbf,COMPLETE
12,0.7767418515504,2025-07-05 23:07:41.009246,2025-07-05 23:08:24.467098,0 days 00:00:43.457852,2.047982073963086,,auto,sigmoid,COMPLETE
13,0.9148082811237753,2025-07-05 23:08:24.467582,2025-07-05 23:09:08.137372,0 days 00:00:43.669790,1.2468181884560485,,auto,rbf,COMPLETE
14,0.9130561004292206,2025-07-05 23:09:08.137804,2025-07-05 23:09:58.458146,0 days 00:00:50.320342,7.84164340944528,,auto,rbf,COMPLETE
15,0.9136417605549768,2025-07-05 23:09:58.458553,2025-07-05 23:10:46.895635,0 days 00:00:48.437082,1.0030719915160384,,scale,rbf,COMPLETE
16,0.7751222301126814,2025-07-05 23:10:46.896108,2025-07-05 23:11:24.368924,0 days 00:00:37.472816,6.447578165457266,,auto,sigmoid,COMPLETE
17,0.9027404025700575,2025-07-05 23:11:24.369447,2025-07-05 23:12:26.263262,0 days 00:01:01.893815,38.74067418093142,,auto,rbf,COMPLETE
18,0.913554936211344,2025-07-05 23:12:26.263572,2025-07-05 23:13:12.290436,0 days 00:00:46.026864,1.006767925280684,,scale,rbf,COMPLETE
19,0.916050132657634,2025-07-05 23:13:12.290794,2025-07-05 23:13:58.799557,0 days 00:00:46.508763,4.074514787904879,,auto,rbf,COMPLETE
